Authors,Title,Year,Cited by,Link,Index Keywords
"Zhang P., Zhou C., Stewart B.G., Hepburn D.M., Zhou W., Yu J.","An improved non-intrusive load monitoring method for recognition of Electric Vehicle Battery charging load",2011,10,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84555209201&doi=10.1016%2fj.egypro.2011.10.015&partnerID=40&md5=e3f328a741a9713eb89fdccd2a09b6a4","Crashworthiness; Electric batteries; Electric load management; Electric measuring instruments; Electric power transmission networks; Electric vehicles; Energy utilization; Information management; Pattern recognition; Secondary batteries; Sensitivity analysis; Smart power grids; Vehicles; Composite loads; Electric vehicle batteries; Electrical energy consumption; Nonintrusive load monitoring; Parallel sensor; Pattern recognition algorithms; Random switching; Smart metering; Charging (batteries)"
"Yoo J., Park B., Hur K.","Context awareness-based disaggregation of residential load consumption",2011,9,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864946778&doi=10.3182%2f20110828-6-IT-1002.01783&partnerID=40&md5=d4591d37b865437480adb7933e7467e3","Consumer behavior; Electric load management; Housing; Smart meters; Wireless sensor networks; Context- awareness; Disaggregation; Electrical energy consumption; Load information; Location information; Non-intrusive appliance load monitoring; Residential loads; Smart metering technology; Energy utilization"
"Froehlich J., Larson E., Gupta S., Cohn G., Reynolds M., Patel S.","Disaggregated end-use energy sensing for the smart grid",2011,175,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650883756&doi=10.1109%2fMPRV.2010.74&partnerID=40&md5=af457a57c14d6ac0bfa1a1d775939690","Classification algorithm; Data sets; Disaggregated energy sensing; Disaggregation; Disaggregation techniques; Electrical load; End-uses; Energy consumption; Energy meters; Energy usage; New approaches; Policy makers; Research problems; Signal features; Smart grid; Sustainability; Voltage noise; Mathematical operators; Sustainable development; Energy utilization"
"Schoofs A., Ruzzelli A.G., O'Hare G.M.P.","VLAN auditing for preliminary assessment of after hours networked equipment electricity wastage",2011,3,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-82955176934&doi=10.1016%2fj.energy.2011.09.032&partnerID=40&md5=6d1c851aedc1a5112a4b35d62dd7a332","Electricity; Energy efficiency; Equipment; Investments; Management; Monitoring; Office buildings; Profitability; Software agents; Client machine; Energy efficient; In-situ; IT infrastructures; Office; Preliminary assessment; Primary sources; Return on investments; Total power consumption; Virtual local area networks; Local area networks; energy efficiency; experimental study; fuel consumption; in situ measurement; monitoring system; software"
"Hazas M., Friday A., Scott J.","Look back before leaping forward: Four decades of domestic energy inquiry",2011,52,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650879021&doi=10.1109%2fMPRV.2010.89&partnerID=40&md5=60b0c5f488a3c6d85b88cfa8d588458a","Energy-aware systems; Pervasive computing; psychology; sociology; Theory and methods; Economics; Energy utilization; Feedback; State feedback; Ubiquitous computing"
"Cavoukian A.","Privacy by design: Best practices for privacy and the smart grid",2011,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84929567988&doi=10.1007%2f978-3-8348-9788-6_25&partnerID=40&md5=e8552cbe1149b6657e44d953330b11b7","Electric power transmission networks; Energy utilization; Risk assessment; Security of data; Best practices; Gold standards; Ontario; Privacy risks; Roadmap; Smart grid; Smart power grids"
"Lai S.W., Messier G.G., Zareipour H., Wai C.H.","Wireless network performance for residential demand-side participation",2010,14,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650575762&doi=10.1109%2fISGTEUROPE.2010.5638892&partnerID=40&md5=7ff6b46781dfd645b93172a06d79aec8","802.11 wireless networks; Demand participation; Demand-side; Electrical load; Empirical data; Event-based; High resolution; Monitoring and control; Monitoring and controlling; Packet latencies; Peer to peer; Poisson process; Poisson processes; Power metering; Residential loads; Smart grid; Time domain; Wireless technologies; Distributed computer systems; Electric load management; Innovation; Network performance; Poisson distribution; Time domain analysis; Wireless networks; Wireless telecommunication systems; Peer to peer networks"
"Du Y., Du L., Lu B., Harley R., Habetler T.","A review of identification and monitoring methods for electric loads in commercial and residential buildings",2010,60,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650166924&doi=10.1109%2fECCE.2010.5618423&partnerID=40&md5=4ed9e59fc74961a27e0021254cf7a463","Carbon emissions; Electric energy consumption; Electricity-consumption; Energy usage; High energy efficiency; Identification method; In-buildings; Load identification; Load monitoring; Monitoring methods; Residential building; State-of-the-art reviews; Apartment houses; Buildings; Dynamic loads; Electric loads; Energy conversion; Energy utilization; High energy physics; Energy efficiency"
"Reeg C.E., Overbye T.J.","Algorithm development for non-intrusive load monitoring for verification and diagnostics",2010,3,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650044058&doi=10.1109%2fNAPS.2010.5619600&partnerID=40&md5=3d066de766e833e8590faf7272fc42c5","Algorithm development; Commercial sensors; Current energy; Distributed control; End-uses; Energy saving protocol; Energy-efficient appliances; Load management; Low resolution; Measurement accuracy; Nonintrusive load monitoring; Operating characteristics; Power system measurement; Power system monitoring; Smart grid; Algorithms; Distributed parameter control systems; Electric load management; Energy conservation; Energy utilization; Equipment; Pattern matching; Sensors; Monitoring"
"Gupta S., Reynolds M.S., Patel S.N.","ElectriSense: Single-point sensing using EMI for electrical event detection and classification in the home",2010,293,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650002846&doi=10.1145%2f1864349.1864375&partnerID=40&md5=2a7c67bbd1b3cb3bfee85c5f38111557","Activity recognition; Activity sensing; Electromagnetic interference; Electronic device; EMI signature; Energy monitoring; Event detection; Fluorescent lighting; Frequency characteristic; High efficiency; High frequency; infrastructure-mediated sensing; New approaches; New solutions; Power supply; Single point; Switch-mode power supplies; Transient noise; Consumer electronics; Electric power systems; Electromagnetic pulse; Electron devices; Fluorescence; Human computer interaction; Shape memory effect; Ubiquitous computing"
"Tewolde M., Longtin J.P.","High-resolution meter reading system for gas utility meter",2010,5,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-79951932175&doi=10.1109%2fICSENS.2010.5690859&partnerID=40&md5=f2cfb490089627054f25ac2a5ee8076e","Customer feedback; Gas consumption; Gas flows; Gas utility; High resolution; Load profiles; Market adoption; Meter readings; Metering systems; New high; Real time; Sensors; Gases"
"Rowe A., Berges M., Rajkumar R.","Contactless sensing of appliance state transitions through variations in electromagnetic fields",2010,55,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650870745&doi=10.1145%2f1878431.1878437&partnerID=40&md5=45bd399b89378f27429827ad94378961","Battery life; Close proximity; Contact less; Detection range; Electric field fluctuations; Energy consumption; Energy meters; In-buildings; Load tree analysis; Nonintrusive load monitoring; Power Consumption; Power state; State transitions; Training phase; Electric fields; Electromagnetic fields; Embedded systems; Energy utilization; Equipment; Monitoring; Walls (structural partitions); Sensors"
"Filippi A., Pandharipande A., Lelkens A., Rietman R., Schenk T., Wang Y., Shrubsole P.","Multi-appliance power disaggregation: An approach to energy monitoring",2010,5,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-79958265054&doi=10.1109%2fENERGYCON.2010.5771809&partnerID=40&md5=bd579cdbdd1b1d9c05137db7d94e1c5a","Current energy; Disaggregation; Electrical power consumption; Energy monitoring; Experimental setup; Linear detection; Non-intrusive appliance load monitoring; Residential electricity; Simulation result; Single point; Algorithms; Electric power utilization; Fluidized bed combustion; Hand held computers; Signal detection; Monitoring"
"Benyoucef D., Klein P., Bier T.","Smart Meter with non-intrusive load monitoring for use in Smart Homes",2010,18,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-79958255398&doi=10.1109%2fENERGYCON.2010.5771810&partnerID=40&md5=3e2ca9348224b94d4b5cb96f6e0feb91","Non-intrusive appliance load monitoring; Nonintrusive load monitoring; Research areas; Smart homes; Smart meters; Energy utilization"
